Values for Sample D
The total number of words = 2956880
The total number of distinct = 57794
The popular treshold words = 2890
The common treshold 1 words = 27452
The common treshold 2 words = 30342
____________________________________________________________________________________________________________
Table for the top values
+---------------+------+----+
|           Word| Count|Rank|
|            six|   411| 681|
|            pay|   411| 682|
|         morrow|   411| 683|
|            try|   410| 684|
|           wild|   408| 685|
|          looks|   407| 686|
|        citizen|   407| 687|
|       followed|   406| 688|
|           goes|   406| 689|
|          thank|   406| 690|
|      beautiful|   404| 691|
|           real|   403| 692|
|            bid|   402| 693|
|       pictures|   401| 694|
|          truly|   401| 695|
|          worse|   401| 696|
|          prove|   400| 697|
|        picture|   399| 698|
|         taking|   399| 699|
|           boat|   399| 700|
|      messenger|   398| 701|
|           wise|   397| 702|
|           town|   397| 703|
|           lies|   397| 704|
|          early|   396| 705|
|          table|   396| 706|
|         appear|   395| 707|
|           boys|   393| 708|
|          lived|   392| 709|
|           walk|   392| 710|
|           seek|   392| 711|
|          plain|   392| 712|
|          paris|   392| 713|
|         effect|   391| 714|
|          crown|   391| 715|
|            hot|   390| 716|
|       answered|   389| 717|
|           pity|   388| 718|
|          green|   387| 719|
|           easy|   387| 720|
|         figure|   387| 721|
|        history|   387| 722|
|          field|   387| 723|
|        learned|   385| 724|
|          yours|   385| 725|
|          learn|   383| 726|
|        private|   383| 727|
|         edward|   383| 728|
|       greatest|   381| 729|
|             ii|   381| 730|
|      principle|   381| 731|
|           mere|   380| 732|
|         hardly|   380| 733|
|           road|   379| 734|
|         bloody|   379| 735|
|            big|   378| 736|
|          heads|   378| 737|
|          trust|   377| 738|
|            ear|   377| 739|
|          grave|   375| 740|
|        carried|   375| 741|
|            sad|   374| 742|
|           wilt|   374| 743|
|          devil|   374| 744|
|         object|   374| 745|
|          drink|   373| 746|
|         degree|   373| 747|
|           jane|   373| 748|
|          loved|   372| 749|
|           fast|   371| 750|
|         except|   371| 751|
|         former|   368| 752|
|        evening|   367| 753|
|         window|   366| 754|
|           ears|   366| 755|
|         pretty|   366| 756|
|            joy|   365| 757|
|         proper|   365| 758|
|           dare|   365| 759|
|           sake|   365| 760|
|           iago|   365| 761|
|         struck|   364| 762|
|          clown|   364| 763|
|           paid|   362| 764|
|          parts|   362| 765|
|           bill|   362| 766|
|       straight|   361| 767|
|        federal|   360| 768|
|         pardon|   360| 769|
|       standing|   359| 770|
|             st|   359| 771|
|       returned|   358| 772|
|         worthy|   358| 773|
|           note|   356| 774|
|          proud|   355| 775|
|            led|   354| 776|
|         bright|   353| 777|
|         chance|   353| 778|
|           holy|   353| 779|
|          touch|   352| 780|
|            eat|   350| 781|
|           lose|   348| 782|
|     everything|   347| 783|
|          shalt|   347| 784|
|            ran|   346| 785|
|        members|   346| 786|
|             oh|   344| 787|
|        silence|   344| 788|
|         around|   343| 789|
|          drawn|   343| 790|
|         wanted|   343| 791|
|          below|   343| 792|
|       whatever|   343| 793|
|        foreign|   342| 794|
|         latter|   341| 795|
|         simple|   340| 796|
|        trouble|   340| 797|
|           glad|   340| 798|
|          plato|   340| 799|
|          lorry|   340| 800|
|         likely|   339| 801|
|           blue|   338| 802|
|            fit|   338| 803|
|            fly|   338| 804|
|        account|   337| 805|
|        liberty|   337| 806|
|         future|   337| 807|
|          added|   336| 808|
|       speaking|   336| 809|
|         hither|   336| 810|
