Values for Sample G 
The total number of words = 2104828
The total number of distinct = 36986
The popular treshold words = 1850
The common treshold 1 words = 17568
The common treshold 2 words = 19418
____________________________________________________________________________________________________________
Table for the top values
+--------------+-----+----+
|          Word|Count|Rank|
|       general|  453| 484|
|          wilt|  452| 485|
|       towards|  451| 486|
|          play|  451| 487|
|          cold|  446| 488|
|      remember|  444| 489|
|         sight|  439| 490|
|           ere|  437| 491|
|         ready|  436| 492|
|       perhaps|  435| 493|
|          hard|  435| 494|
|          free|  434| 495|
|           bad|  432| 496|
|          send|  432| 497|
|          need|  431| 498|
|         black|  430| 499|
|        strong|  430| 500|
|        spirit|  430| 501|
|      question|  424| 502|
|          sort|  423| 503|
|         works|  423| 504|
|         knows|  423| 505|
|         shame|  423| 506|
|         hence|  422| 507|
|        manner|  420| 508|
|           bid|  420| 509|
|         sound|  419| 510|
|         youth|  412| 511|
|    heathcliff|  411| 512|
|           arm|  409| 513|
|       account|  409| 514|
|         court|  409| 515|
|       warwick|  409| 516|
|       harriet|  408| 517|
|          fell|  407| 518|
|           law|  407| 519|
|        worthy|  405| 520|
|          foot|  404| 521|
|          town|  404| 522|
|      farewell|  403| 523|
|          dare|  400| 524|
|         devil|  399| 525|
|        behind|  396| 526|
|           age|  395| 527|
|         clown|  394| 528|
|       further|  393| 529|
|         spoke|  393| 530|
|       service|  393| 531|
|       comfort|  392| 532|
|         worth|  392| 533|
|           sit|  392| 534|
|           mad|  391| 535|
|        weston|  388| 536|
|         false|  387| 537|
|           sea|  386| 538|
|          able|  386| 539|
|         water|  385| 540|
|        turned|  385| 541|
|          book|  385| 542|
|         thank|  385| 543|
|        cousin|  384| 544|
|         small|  382| 545|
|        passed|  381| 546|
|          lies|  381| 547|
|     messenger|  381| 548|
|        taking|  380| 549|
|         prove|  380| 550|
|        change|  379| 551|
|       married|  378| 552|
|          late|  378| 553|
|         yours|  378| 554|
|           sun|  378| 555|
|       opinion|  377| 556|
|        charge|  376| 557|
|          pass|  376| 558|
|            re|  375| 559|
|          gods|  375| 560|
